,Unnamed: 0,divisions,title,abstract,subjects,publication,publisher,date,keywords,keyword,lang,text_stemmed
15000,15000,['FK1'],modul pelatian tot bagi dosen home based dlp,-,['R1'],,BP SDM Kemenkes RI,,,,?,modul pelatian tot bagi dosen home based dlp -
15001,15001,['FT8'],peer review aplikasi augmented reality navigasi koleksi perpustakaan,aplikasi augmented reality navigasi koleksi perpustakaan adalah aplikasi yang membantu pemustaka pengunjung perpustakaan dalam melakukan navigasi menuju pustaka yang dicari berdasarkan lokasi fisik dari tempat perpustakaan pemustaka melakukan pencarian pada sistem otomasi perpustakaan menggunakan perangkat bergerak ponsel tablet untuk mendapatkan nomor katalog pustaka pemustaka kemudian menggunakan nomor katalog pustaka untuk mendapatkan informasi berbasis augmented reality yang menunjukkan arah navigasi kepada pustaka yang dicari pemustaka memasukkan informasi lokasi dirinya berada kemudian sistem melakukan navigasi gedung dalam 3d untuk menunjukkan jalur yang harus dilalui oleh pemustaka setelah itu aplikasi mengakses kamera untuk menggunakan augmented reality yang memakai kamera pada perangkat bergerak pemustaka ke marker yang diletakkan di berbagai tempat dalam gedung perpustakaan pemustaka kemudian dapat melakukan navigasi menggunakan perangkat bergerak yang memindai marker untuk mengetahui arah yang harus dilalui,['T1'],,Fakultas Teknik Universitas Lampung,,,,id,peer review aplikasi augmented reality navigasi koleksi pustaka aplikasi augmented reality navigasi koleksi pustaka adalah aplikasi yang bantu mustaka unjung pustaka dalam laku navigasi tuju pustaka yang cari dasar lokasi fisik dari tempat pustaka mustaka laku cari pada sistem otomasi pustaka guna perangkat gerak ponsel tablet untuk dapat nomor katalog pustaka mustaka kemudian guna nomor katalog pustaka untuk dapat informasi bas augmented reality yang tunjuk arah navigasi kepada pustaka yang cari mustaka masuk informasi lokasi diri ada kemudian sistem laku navigasi gedung dalam 3d untuk tunjuk jalur yang harus lalu oleh mustaka telah itu aplikasi akses kamera untuk guna augmented reality yang pakai kamera pada perangkat gerak mustaka ke marker yang letak di bagai tempat dalam gedung pustaka mustaka kemudian dapat laku navigasi guna perangkat gerak yang pindai marker untuk tahu arah yang harus lalu
15002,15002,['FT8'],peer review program komputer idm dashboard ec00202045770.,sistem elektronik indeks desa membangun idm dashboard dengan penyajian informasi berdasarkan laporan idm tahunan kemendesa yang dapat disajikan mulai dari tingkat desa kecamatan kabupaten provinsi hingga nasional sistem elektronik idm dashboard dapat dijalankan pada perangkat bergerak,['T1'],,Fakultas Teknik Universitas Lampung,,,,id,peer review program komputer idm dashboard ec00202045770 sistem elektronik indeks desa bangun idm dashboard dengan saji informasi dasar lapor idm tahun desa yang dapat saji mulai dari tingkat desa camat kabupaten provinsi hingga nasional sistem elektronik idm dashboard dapat jalan pada perangkat gerak
15003,15003,['FT8'],peer review augmented reality berbasis image marker tracking untuk sistem pengenalan buku di perpustakaan,buku merupakan koleksi literatur terbanyak di perpustakaan sehingga perpustakaan memerlukan sistem katalog yang memuat informasi buku sistem katalog di perpustakaan saat ini masih memerlukan usaha agar mudah dipahami pemustaka augmented reality dengan teknologi image marker tracking memungkinkan pemustaka untuk mengetahui informasi buku dengan memindai sampul buku melalui kamera browser pada smartphone pengembangan aplikasi menggunakan software ar js aframe xampp dan metode kanban sebagai metode pengembangan sistem metode kanban terdiri dari tahap perencanaan analisis desain implementasi evaluasi dan pelaporan secara keseluruhan penelitian ini telah menghasilkan aplikasi pengenalan buku ar yang dapat menampilkan informasi buku melalui pemindaian custom marker image marker dengan black border yang dapat diakses melalui web browser pada smartphone kata kunci buku augmented reality image marker kanban user acceptance test,['T1'],,Fakultas Teknik Universitas Lampung,,,,id,peer review augmented reality bas image marker tracking untuk sistem kenal buku di pustaka buku rupa koleksi literatur banyak di pustaka sehingga pustaka perlu sistem katalog yang muat informasi buku sistem katalog di pustaka saat ini masih perlu usaha agar mudah paham mustaka augmented reality dengan teknologi image marker tracking mungkin mustaka untuk tahu informasi buku dengan pindai sampul buku lalu kamera browser pada smartphone kembang aplikasi guna software ar js aframe xampp dan metode kanban bagai metode kembang sistem metode kanban diri dari tahap rencana analisis desain implementasi evaluasi dan lapor cara seluruh teliti ini telah hasil aplikasi kenal buku ar yang dapat tampil informasi buku lalu pindai custom marker image marker dengan black border yang dapat akses lalu web browser pada smartphone kata kunci buku augmented reality image marker kanban user acceptance test
15004,15004,['FISIP1'],augmented reality pelacak lokasi pustaka dengan ar marker,teknologi augmented reality ar saat ini banyak digunakan untuk penyebaran informasi dan bahkan untuk transaksi pada pelayanan yang bersifat publik teknologi ini sudah cukup dikenal oleh masyarakat luas bersamaan dengan dikenalnya teknologi virtual reality vr yang banyak digunakan pada permainan game pengunjung perpustakaan terutama di universitas sebagian besar merupakan masyarakat dengan kategori generasi digital native untuk menemukan lokasi buku waktu yang dibutuhkan oleh pengunjung perpustakaan biasanya relatif lama dan sangat tergantung dari pengalaman kunjungan atau frekuensi pencarian yang dilakukan untuk itu pengunjung perpustakaan memerlukan aplikasi yang memudahkan mereka melacak dan menemukan lokasi koleksi pustaka yang dicari dengan menggunakan ponsel cerdas mereka penelitian ini bertujuan untuk mengembangkan perangkat lunak layanan perpustakaan dengan memanfaatkan teknologi ar dan berbasis ar marker ruang lingkup pengembangan aplikasi ini menggunakan metoda rekayasa perangkat lunak rad aplikasi dikembangkan menggunakan metoda template matching dan algoritma a untuk pathfinding skema layanan data pada alikasi terdiri dari empat bagian yaitu opac online public access catalog deteksi lokasi pathfinding dan navigasi lokasi yang dipetakan adalah gedung perpustakaan universitas lampung yang terdiri dari 3 lantai hasil dari penelitian ini berupa realisasi perangkat lunak menggunakan teknologi ar yang dapat memvisualisasikan arah menuju lokasi pustaka pengujian aplikasi dilakukan dengan skenario a pencarian pustaka dengan opac b mendeteksi lokasi ar c komputasi pathfinding d menampilkan marker dan seluruhnya memperoleh hasil yang sesuai dengan requirement,['GE'],Jurnal Teknologi Informasi dan Ilmu Komputer (JTIIK),"Fakultas Ilmu Komputer (FILKOM), Universitas Brawijaya (UB)",,,,id,augmented reality lacak lokasi pustaka dengan ar marker teknologi augmented reality ar saat ini banyak guna untuk sebar informasi dan bahkan untuk transaksi pada layan yang sifat publik teknologi ini sudah cukup kenal oleh masyarakat luas sama dengan kenal teknologi virtual reality vr yang banyak guna pada main game unjung pustaka utama di universitas bagi besar rupa masyarakat dengan kategori generasi digital native untuk temu lokasi buku waktu yang butuh oleh unjung pustaka biasa relatif lama dan sangat gantung dari alam kunjung atau frekuensi cari yang laku untuk itu unjung pustaka perlu aplikasi yang mudah mereka lacak dan temu lokasi koleksi pustaka yang cari dengan guna ponsel cerdas mereka teliti ini tuju untuk kembang perangkat lunak layan pustaka dengan manfaat teknologi ar dan bas ar marker ruang lingkup kembang aplikasi ini guna metoda rekayasa perangkat lunak rad aplikasi kembang guna metoda template matching dan algoritma a untuk pathfinding skema layan data pada alikasi diri dari empat bagi yaitu opac online public access catalog deteksi lokasi pathfinding dan navigasi lokasi yang peta adalah gedung pustaka universitas lampung yang diri dari 3 lantai hasil dari teliti ini upa realisasi perangkat lunak guna teknologi ar yang dapat visualisasi arah tuju lokasi pustaka uji aplikasi laku dengan skenario a cari pustaka dengan opac b deteksi lokasi ar c komputasi pathfinding d tampil marker dan seluruh oleh hasil yang sesuai dengan requirement
15005,15005,['FT8'],peer review augmented reality pelacak lokasi pustaka dengan ar,"abstrak teknologi augmentedreality ar saat ini banyak digunakan untuk penyebaran informasi dan bahkan untuk transaksi pada pelayanan yang bersifat publik teknologi ini sudah cukup dikenal oleh masyarakat luas bersamaan dengan dikenalnya teknologi virtual reality vr yang banyak digunakan pada permainan game pengunjung perpustakaan terutama di universitas sebagian besar merupakan masyarakat dengan kategori generasi digital native untuk menemukan lokasi buku waktu yang dibutuhkan oleh pengunjung perpustakaan biasanya relatif lama dan sangat tergantung dari pengalaman kunjungan atau frekuensi pencarian yang dilakukan pengunjung perpustakaan memerlukan aplikasi yang memudahkan mereka melacak dan menemukan lokasi koleksi pustaka yang dicari dengan menggunakan ponsel cerdas mereka sistem otomasi perpustakaan yang ada membantu menyediakan informasi lokasi pustaka yang harus direlasikan sendiri oleh pengunjung perpustakaan terhadap tempat di gedung perpustakaan ar memungkinkan informasi tersebut disematkan di dunia nyata sehingga memudahkan pencarian pustaka penelitian ini bertujuan untuk mengembangkan perangkat lunak layanan perpustakaan yang dapat membantu pengunjung menemukan lokasi buku dengan memanfaatkan teknologi ar dan berbasis ar marker ruang lingkup pengembangan aplikasi ini menggunakan metode rekayasa perangkat lunak rad aplikasi dikembangkan menggunakan metode template matching dan algoritma a untuk pathfinding skema layanan data pada alikasi terdiri dari empat bagian yaitu opac online public access catalog deteksi lokasi pathfinding dan navigasi lokasi yang dipetakan adalah gedung perpustakaan universitas lampung yang terdiri dari 3 lantai hasil dari penelitian ini berupa realisasi perangkat lunak menggunakan teknologi ar yang dapat memvisualisasikan arah menuju lokasi pustaka pengujian aplikasi dilakukan dengan skenario a pencarian pustaka dengan opac b mendeteksi lokasi ar c komputasi pathfinding d menampilkan marker dan seluruhnya memperoleh hasil yang sesuai dengan requirement waktu komputasi pada perangkat ar diukur terhadap proses algoritma a generasi marker dan total keseluruhan total waktu komputasi yang diperlukan adalah ratarata 37,379 ms modus 44 ms dan median 38 ms secara keseluruhan waktu komputasi berada di bawah nilai batas tti 50 ms hasil survei menunjukkan lebih dari 70% pengunjung perpustakaan memiliki user experience ux yang baik dan sangat baik kata kunci augmented reality pelacak lokasi navigasi perpustakaan ar marker template matching",['T1'],,Fakultas Teknik Universitas Lampung,,,,id,peer review augmented reality lacak lokasi pustaka dengan ar abstrak teknologi augmentedreality ar saat ini banyak guna untuk sebar informasi dan bahkan untuk transaksi pada layan yang sifat publik teknologi ini sudah cukup kenal oleh masyarakat luas sama dengan kenal teknologi virtual reality vr yang banyak guna pada main game unjung pustaka utama di universitas bagi besar rupa masyarakat dengan kategori generasi digital native untuk temu lokasi buku waktu yang butuh oleh unjung pustaka biasa relatif lama dan sangat gantung dari alam kunjung atau frekuensi cari yang laku unjung pustaka perlu aplikasi yang mudah mereka lacak dan temu lokasi koleksi pustaka yang cari dengan guna ponsel cerdas mereka sistem otomasi pustaka yang ada bantu sedia informasi lokasi pustaka yang harus relasi sendiri oleh unjung pustaka hadap tempat di gedung pustaka ar mungkin informasi sebut semat di dunia nyata sehingga mudah cari pustaka teliti ini tuju untuk kembang perangkat lunak layan pustaka yang dapat bantu unjung temu lokasi buku dengan manfaat teknologi ar dan bas ar marker ruang lingkup kembang aplikasi ini guna metode rekayasa perangkat lunak rad aplikasi kembang guna metode template matching dan algoritma a untuk pathfinding skema layan data pada alikasi diri dari empat bagi yaitu opac online public access catalog deteksi lokasi pathfinding dan navigasi lokasi yang peta adalah gedung pustaka universitas lampung yang diri dari 3 lantai hasil dari teliti ini upa realisasi perangkat lunak guna teknologi ar yang dapat visualisasi arah tuju lokasi pustaka uji aplikasi laku dengan skenario a cari pustaka dengan opac b deteksi lokasi ar c komputasi pathfinding d tampil marker dan seluruh oleh hasil yang sesuai dengan requirement waktu komputasi pada perangkat ar ukur hadap proses algoritma a generasi marker dan total seluruh total waktu komputasi yang perlu adalah ratarata 37 379 ms modus 44 ms dan median 38 ms cara seluruh waktu komputasi ada di bawah nilai batas tti 50 ms hasil survei tunjuk lebih dari 70 unjung pustaka milik user experience ux yang baik dan sangat baik kata kunci augmented reality lacak lokasi navigasi pustaka ar marker template matching
15006,15006,['FT8'],peer review paten sederhana sistem navigasi pada perpustakaan menggunakan ar augmented reality untuk mendeteksi lokasi buku berada ids000002929.,invensi ini merupakan penerapan teknologi navigasi menggunakan augmented reality dan sistem otomasi perpustakaan yang bertujuan untuk membantu navigasi dalam pencarian buku berada oleh pemustaka pada perpustakaan sistem navigasi pada perpustakaan menggunakan ar untuk mendeteksi lokasi buku berada dimana sistem otomasi perpustakaan melakukan pencarian pustaka yang menghasilkan nomor katalog sistem otomasi perpustakaan mengirim nomor katalog ke sistem pathfinding sistem pathfinding melakukan komputasi jalur path yang harus dilalui dan mengirimkan daftar jalur yang dilewati ke sistem navigasi ar sistem navigasi ar melakukan komputasi jalur path yang harus dilalui mengirimkan daftar jalur yang dilewati ke sistem navigasi ar,['T1'],,Fakultas Teknik Universitas Lampung,,,,id,peer review paten sederhana sistem navigasi pada pustaka guna ar augmented reality untuk deteksi lokasi buku ada ids000002929 invensi ini rupa terap teknologi navigasi guna augmented reality dan sistem otomasi pustaka yang tuju untuk bantu navigasi dalam cari buku ada oleh mustaka pada pustaka sistem navigasi pada pustaka guna ar untuk deteksi lokasi buku ada mana sistem otomasi pustaka laku cari pustaka yang hasil nomor katalog sistem otomasi pustaka kirim nomor katalog ke sistem pathfinding sistem pathfinding laku komputasi jalur path yang harus lalu dan kirim daftar jalur yang lewat ke sistem navigasi ar sistem navigasi ar laku komputasi jalur path yang harus lalu kirim daftar jalur yang lewat ke sistem navigasi ar
15007,15007,['FT8'],similarity augmented reality pelacak lokasi pustaka dengan ar,"abstrak teknologi augmentedreality ar saat ini banyak digunakan untuk penyebaran informasi dan bahkan untuk transaksi pada pelayanan yang bersifat publik teknologi ini sudah cukup dikenal oleh masyarakat luas bersamaan dengan dikenalnya teknologi virtual reality vr yang banyak digunakan pada permainan game pengunjung perpustakaan terutama di universitas sebagian besar merupakan masyarakat dengan kategori generasi digital native untuk menemukan lokasi buku waktu yang dibutuhkan oleh pengunjung perpustakaan biasanya relatif lama dan sangat tergantung dari pengalaman kunjungan atau frekuensi pencarian yang dilakukan pengunjung perpustakaan memerlukan aplikasi yang memudahkan mereka melacak dan menemukan lokasi koleksi pustaka yang dicari dengan menggunakan ponsel cerdas mereka sistem otomasi perpustakaan yang ada membantu menyediakan informasi lokasi pustaka yang harus direlasikan sendiri oleh pengunjung perpustakaan terhadap tempat di gedung perpustakaan ar memungkinkan informasi tersebut disematkan di dunia nyata sehingga memudahkan pencarian pustaka penelitian ini bertujuan untuk mengembangkan perangkat lunak layanan perpustakaan yang dapat membantu pengunjung menemukan lokasi buku dengan memanfaatkan teknologi ar dan berbasis ar marker ruang lingkup pengembangan aplikasi ini menggunakan metode rekayasa perangkat lunak rad aplikasi dikembangkan menggunakan metode template matching dan algoritma a untuk pathfinding skema layanan data pada alikasi terdiri dari empat bagian yaitu opac online public access catalog deteksi lokasi pathfinding dan navigasi lokasi yang dipetakan adalah gedung perpustakaan universitas lampung yang terdiri dari 3 lantai hasil dari penelitian ini berupa realisasi perangkat lunak menggunakan teknologi ar yang dapat memvisualisasikan arah menuju lokasi pustaka pengujian aplikasi dilakukan dengan skenario a pencarian pustaka dengan opac b mendeteksi lokasi ar c komputasi pathfinding d menampilkan marker dan seluruhnya memperoleh hasil yang sesuai dengan requirement waktu komputasi pada perangkat ar diukur terhadap proses algoritma a generasi marker dan total keseluruhan total waktu komputasi yang diperlukan adalah ratarata 37,379 ms modus 44 ms dan median 38 ms secara keseluruhan waktu komputasi berada di bawah nilai batas tti 50 ms hasil survei menunjukkan lebih dari 70% pengunjung perpustakaan memiliki user experience ux yang baik dan sangat baik kata kunci augmentedreality pelacak lokasi navigasi perpustakaan ar marker template matching",['T1'],,"Fakultas Ilmu Komputer (FILKOM), Universitas Brawijaya",,,,id,similarity augmented reality lacak lokasi pustaka dengan ar abstrak teknologi augmentedreality ar saat ini banyak guna untuk sebar informasi dan bahkan untuk transaksi pada layan yang sifat publik teknologi ini sudah cukup kenal oleh masyarakat luas sama dengan kenal teknologi virtual reality vr yang banyak guna pada main game unjung pustaka utama di universitas bagi besar rupa masyarakat dengan kategori generasi digital native untuk temu lokasi buku waktu yang butuh oleh unjung pustaka biasa relatif lama dan sangat gantung dari alam kunjung atau frekuensi cari yang laku unjung pustaka perlu aplikasi yang mudah mereka lacak dan temu lokasi koleksi pustaka yang cari dengan guna ponsel cerdas mereka sistem otomasi pustaka yang ada bantu sedia informasi lokasi pustaka yang harus relasi sendiri oleh unjung pustaka hadap tempat di gedung pustaka ar mungkin informasi sebut semat di dunia nyata sehingga mudah cari pustaka teliti ini tuju untuk kembang perangkat lunak layan pustaka yang dapat bantu unjung temu lokasi buku dengan manfaat teknologi ar dan bas ar marker ruang lingkup kembang aplikasi ini guna metode rekayasa perangkat lunak rad aplikasi kembang guna metode template matching dan algoritma a untuk pathfinding skema layan data pada alikasi diri dari empat bagi yaitu opac online public access catalog deteksi lokasi pathfinding dan navigasi lokasi yang peta adalah gedung pustaka universitas lampung yang diri dari 3 lantai hasil dari teliti ini upa realisasi perangkat lunak guna teknologi ar yang dapat visualisasi arah tuju lokasi pustaka uji aplikasi laku dengan skenario a cari pustaka dengan opac b deteksi lokasi ar c komputasi pathfinding d tampil marker dan seluruh oleh hasil yang sesuai dengan requirement waktu komputasi pada perangkat ar ukur hadap proses algoritma a generasi marker dan total seluruh total waktu komputasi yang perlu adalah ratarata 37 379 ms modus 44 ms dan median 38 ms cara seluruh waktu komputasi ada di bawah nilai batas tti 50 ms hasil survei tunjuk lebih dari 70 unjung pustaka milik user experience ux yang baik dan sangat baik kata kunci augmentedreality lacak lokasi navigasi pustaka ar marker template matching
15008,15008,['FT8'],peer review analisis unjuk kerja single page web application cyber mediawall perpustakaan,cyber mediawall sangat dibutuhkan untuk mendukung penyampaian suatu informasi menjadi lebih cepat tepat dan akurat terutama untuk penyampaian informasi yang realtime dan bersifat terus menerus demikian juga dengan perpustakaan user membutuhkan informasi mengenai content dan event yang ada di perpustakaan baik dalam bentuk teks animasi video dan suara yang dapat diperoleh dengan cepat mudah dan menarik cyber mediawall ini dikembangkan dengan menerapkan teknologi single page web application dan menggunakan websocket terutama untuk pengambilan data secara real time dan penjadwalan content manajemen informasi pun dilakukan dengan mengatur seluruh data yang akan ditampilkan mulai dari proses pemasukkan content sinkronisasi seluruh content dari server pusat dengan lokal dan penjadwalan sehingga content dapat ditampilkan secara real time atau sesuai dengan waktu tayang yang diinginkan untuk analisa unjuk kerja aplikasi dibangun dengan dalam dua versi yaitu dengan menggunakan websocket dan dengan ajax json hasil pengujian pada cyber mediawall ini membuktikan bahwa seluruh fitur sudah berjalan sesuai yang diharapkan websocket memiliki kecepatan page load lebih cepat daripada ajax proses yang membutuhkan waktu paling lama pada ajax adalah proses scripting sedangkan pada websocket adalah proses rendering kata kunci cyber mediawall perpustakaan single page web application websocket ajax,['T1'],,Fakultas Teknik Universitas Lampung,,,,id,peer review analisis unjuk kerja single page web application cyber mediawall pustaka cyber mediawall sangat butuh untuk dukung sampai suatu informasi jadi lebih cepat tepat dan akurat utama untuk sampai informasi yang realtime dan sifat terus terus demikian juga dengan pustaka user butuh informasi kena content dan event yang ada di pustaka baik dalam bentuk teks animasi video dan suara yang dapat oleh dengan cepat mudah dan tarik cyber mediawall ini kembang dengan terap teknologi single page web application dan guna websocket utama untuk ambil data cara real time dan jadwal content manajemen informasi pun laku dengan atur seluruh data yang akan tampil mulai dari proses masuk content sinkronisasi seluruh content dari server pusat dengan lokal dan jadwal sehingga content dapat tampil cara real time atau sesuai dengan waktu tayang yang ingin untuk analisa unjuk kerja aplikasi bangun dengan dalam dua versi yaitu dengan guna websocket dan dengan ajax json hasil uji pada cyber mediawall ini bukti bahwa seluruh fitur sudah jalan sesuai yang harap websocket milik cepat page load lebih cepat daripada ajax proses yang butuh waktu paling lama pada ajax adalah proses scripting sedang pada websocket adalah proses rendering kata kunci cyber mediawall pustaka single page web application websocket ajax
15009,15009,['FT8'],similarity analisis unjuk kerja spa mediawall,cyber mediawall sangat dibutuhkan untuk mendukung penyampaian suatu informasi menjadi lebih cepat tepat dan akurat terutama untuk penyampaian informasi yang realtime dan bersifat terus menerus demikian juga dengan perpustakaan user membutuhkan informasi mengenai content dan event yang ada di perpustakaan baik dalam bentuk teks animasi video dan suara yang dapat diperoleh dengan cepat mudah dan menarik cyber mediawall ini dikembangkan dengan menerapkan teknologi single page web application dan menggunakan websocket terutama untuk pengambilan data secara real time dan penjadwalan content manajemen informasi pun dilakukan dengan mengatur seluruh data yang akan ditampilkan mulai dari proses pemasukkan content sinkronisasi seluruh content dari server pusat dengan lokal dan penjadwalan sehingga content dapat ditampilkan secara real time atau sesuai dengan waktu tayang yang diinginkan untuk analisa unjuk kerja aplikasi dibangun dengan dalam dua versi yaitu dengan menggunakan websocket dan dengan ajax json hasil pengujian pada cyber mediawall ini membuktikan bahwa seluruh fitur sudah berjalan sesuai yang diharapkan websocket memiliki kecepatan page load lebih cepat daripada ajax proses yang membutuhkan waktu paling lama pada ajax adalah proses scripting sedangkan pada websocket adalah proses rendering kata kunci cyber mediawall perpustakaan single page web application websocket ajax,['T1'],,UPT Perpustakaan Universitas Lampung,,,,id,similarity analisis unjuk kerja spa mediawall cyber mediawall sangat butuh untuk dukung sampai suatu informasi jadi lebih cepat tepat dan akurat utama untuk sampai informasi yang realtime dan sifat terus terus demikian juga dengan pustaka user butuh informasi kena content dan event yang ada di pustaka baik dalam bentuk teks animasi video dan suara yang dapat oleh dengan cepat mudah dan tarik cyber mediawall ini kembang dengan terap teknologi single page web application dan guna websocket utama untuk ambil data cara real time dan jadwal content manajemen informasi pun laku dengan atur seluruh data yang akan tampil mulai dari proses masuk content sinkronisasi seluruh content dari server pusat dengan lokal dan jadwal sehingga content dapat tampil cara real time atau sesuai dengan waktu tayang yang ingin untuk analisa unjuk kerja aplikasi bangun dengan dalam dua versi yaitu dengan guna websocket dan dengan ajax json hasil uji pada cyber mediawall ini bukti bahwa seluruh fitur sudah jalan sesuai yang harap websocket milik cepat page load lebih cepat daripada ajax proses yang butuh waktu paling lama pada ajax adalah proses scripting sedang pada websocket adalah proses rendering kata kunci cyber mediawall pustaka single page web application websocket ajax
