,Unnamed: 0,divisions,title,abstract,subjects,publication,publisher,date,keywords,keyword,lang,translation
15500,15500,,mengapa akuntan tidak berbohong studi eksperimen pada perilaku budgetary slack,individual performance evaluation is usually measured based on his success in achieving targets in organizations thus budget has major influence on individual behavior in organizations organization strives to create the most appropriate budgeting system to accommodate the interests of the company department or business unit and individuals within it this is because budgeting will have an impact on individual performance which in turn will also have an impact on company performance budgetary slack is one of the main problems that often arise in the budgeting process the gap between the best estimate of performance and the proposed budget causes the company to lose out on getting the maximum performance potential of individuals and profits for the company in addition the social pressure causes individuals to behave in a way that deviates from company values individuals who experience very strong pressure from both superiors and coworkers will increase the individual s chances of committing unethical actions budgetary slack but on the other hand several studies show that not all individuals are obedient to social pressure from others most individuals especially accountants refuse to commit unethical actions even though the threat of very severe punishment awaits we are interested in analyzing this unique phenomenon using the experimental research on 90 participants we found evidence that different levels of individual locus of control can minimize the occurrence of budgetary slack the results of this study are expected to provide consideration for stakeholders in the financial sector to consider individual personal values as one of the important variables that play a role in budgeting success in companies or organizations,['HF5601'],Jurnal Akuntansi dan Pajak,Jurnal Akuntansi dan Pajak,,,,en,individual performance evaluation is usually measured based on his success in achieving targets in organizations thus budget has major influence on individual behavior in organizations organization strives to create the most appropriate budgeting system to accommodate the interests of the company department or business unit and individuals within it this is because budgeting will have an impact on individual performance which in turn will also have an impact on company performance budgetary slack is one of the main problems that often arise in the budgeting process the gap between the best estimate of performance and the proposed budget causes the company to lose out on getting the maximum performance potential of individuals and profits for the company in addition the social pressure causes individuals to behave in a way that deviates from company values individuals who experience very strong pressure from both superiors and coworkers will increase the individual s chances of committing unethical actions budgetary slack but on the other hand several studies show that not all individuals are obedient to social pressure from others most individuals especially accountants refuse to commit unethical actions even though the threat of very severe punishment awaits we are interested in analyzing this unique phenomenon using the experimental research on 90 participants we found evidence that different levels of individual locus of control can minimize the occurrence of budgetary slack the results of this study are expected to provide consideration for stakeholders in the financial sector to consider individual personal values as one of the important variables that play a role in budgeting success in companies or organizations
15501,15501,['FP26'],analisis produksi dan pendapatan usahatani padi di kabupaten lampung tengah,"rice is an important food commodity because it is a staple food and a source of income for the indonesian population the government continues to make efforts to increase rice production to maintain food availability and increase farmers income however the current problem is that the productivity of rice produced is still low this is because farmers have not optimally used production factors so that it affects farmers income this study aims to 1 analyze the factors that influence rice farming production and 2 analyze rice farming income this type of research is quantitative research while the method used is a survey method the research was conducted in central lampung regency with the number of respondents as many as 100 rice farmers who were determined by the simple random sampling method the data analysis tool method used is the cobbdouglass production function and income analysis the results showed that the variables of seeds urea fertilizer npk fertilizer manure labor and land area had a significant effect on rice production while kcl fertilizer and sp36 fertilizer had no significant effect on rice production the average income of rice farming on the total cost per planting season is idr 13,258,682.47 ha with an r c of 2.36 which means that rice farming has been profitable",['S1'],Jurnal Ekonomi Pertanian dan Agribisnis (JEPA),Universitas Brawijaya,,,"['production', 'rice farming', 'income']",en,"rice is an important food commodity because it is a staple food and a source of income for the indonesian population the government continues to make efforts to increase rice production to maintain food availability and increase farmers income however the current problem is that the productivity of rice produced is still low this is because farmers have not optimally used production factors so that it affects farmers income this study aims to 1 analyze the factors that influence rice farming production and 2 analyze rice farming income this type of research is quantitative research while the method used is a survey method the research was conducted in central lampung regency with the number of respondents as many as 100 rice farmers who were determined by the simple random sampling method the data analysis tool method used is the cobbdouglass production function and income analysis the results showed that the variables of seeds urea fertilizer npk fertilizer manure labor and land area had a significant effect on rice production while kcl fertilizer and sp36 fertilizer had no significant effect on rice production the average income of rice farming on the total cost per planting season is idr 13,258,682.47 ha with an r c of 2.36 which means that rice farming has been profitable"
15502,15502,['FK1'],antimicrobial activity of syzygium aromaticum l leaves essential oil against candida albicans and streptococcus mutans,background candida albicans and streptococcus mutans infection cases are increasingly common diseases giving bad impact on humans high evidence of microbial included bacterial and fungal resistance because frequently used antibiotics contributes disability and death significantly worldwide hence alternative and safe of antimicrobial agents are required clove leaves syzygium aromaticum l are part of the myrtaceae family containing essential oils that are rich in eugenol as the main component having high antimicrobial activity therefore this study focuses on evaluation of antimicrobial activity of clove leaf essential oil against candida albicans and streptococcus mutans methods in the current study the antibacterial efficiency of syzygium aromaticum l leaf essential oil against candida albicans and streptococcus mutans was determined by the disc diffusion method furthermore the physical characterizations of essential oils that were carried out were colour odour solubility density and total eugenol respectively results clove leaf essential oil exhibited antimicrobial activity against pathogenic isolates candida albicans was recorded at 0.5% having inhibition zones of 33.3 0.28 mm 1% of 34 0.00mm 1.5% of 35 0.28mm while against grampositive bacteria streptococcus mutans at 0.5% presented an inhibition zone of 19.95 1.76mm 1% of 20.5 2.12mm 1.5% of 22.1 1.55mm the physical characterization obtained from clove leaf essential oil revealed that the essential oil presented yellow and distinctive odour solubility in ethanol was 70% 1 2 clear the density was 1.047g ml and eugenol total was 80% conclusion this study indicates that essential oil of syzygium aromaticum l leaves can be considered as potential antimicrobial agents,['RS'],RJPT,,,,,en,background candida albicans and streptococcus mutans infection cases are increasingly common diseases giving bad impact on humans high evidence of microbial included bacterial and fungal resistance because frequently used antibiotics contributes disability and death significantly worldwide hence alternative and safe of antimicrobial agents are required clove leaves syzygium aromaticum l are part of the myrtaceae family containing essential oils that are rich in eugenol as the main component having high antimicrobial activity therefore this study focuses on evaluation of antimicrobial activity of clove leaf essential oil against candida albicans and streptococcus mutans methods in the current study the antibacterial efficiency of syzygium aromaticum l leaf essential oil against candida albicans and streptococcus mutans was determined by the disc diffusion method furthermore the physical characterizations of essential oils that were carried out were colour odour solubility density and total eugenol respectively results clove leaf essential oil exhibited antimicrobial activity against pathogenic isolates candida albicans was recorded at 0.5% having inhibition zones of 33.3 0.28 mm 1% of 34 0.00mm 1.5% of 35 0.28mm while against grampositive bacteria streptococcus mutans at 0.5% presented an inhibition zone of 19.95 1.76mm 1% of 20.5 2.12mm 1.5% of 22.1 1.55mm the physical characterization obtained from clove leaf essential oil revealed that the essential oil presented yellow and distinctive odour solubility in ethanol was 70% 1 2 clear the density was 1.047g ml and eugenol total was 80% conclusion this study indicates that essential oil of syzygium aromaticum l leaves can be considered as potential antimicrobial agents
15503,15503,['FT7'],porous magnesium scaffold for bone implant application a review,abstract for over two decades various porous polymeric and metallicbased implants have been used as loadbearing scaffold for mechanical attachment and tissue ingrowths porous implants designed for biological fixation of prostheses in bone replacement and enhance mechanical demand as loadbearing material therefore studies on the effect of using parameters such as pore size pore structure and porosity with respect to cell adhesion as well as tissue ingrowths have been extensively reported this article aims to report the current status and future challenge on using porous magnesium scaffold for bone implant application techniques on manufacturing technology for producing porous magnesium scaffold will also be highlighted keywords porous magnesium scaffolds bone implant biodegradable metals tissue ingrowths,['TJ'],Advanced Materials Research.,"Trans Tech Publications, Switzerland",,,,en,abstract for over two decades various porous polymeric and metallicbased implants have been used as loadbearing scaffold for mechanical attachment and tissue ingrowths porous implants designed for biological fixation of prostheses in bone replacement and enhance mechanical demand as loadbearing material therefore studies on the effect of using parameters such as pore size pore structure and porosity with respect to cell adhesion as well as tissue ingrowths have been extensively reported this article aims to report the current status and future challenge on using porous magnesium scaffold for bone implant application techniques on manufacturing technology for producing porous magnesium scaffold will also be highlighted keywords porous magnesium scaffolds bone implant biodegradable metals tissue ingrowths
15504,15504,['FH3'],reconstruction of energy management law based on indonesia s legal system,there are two things that became an important part of studies in indonesian law related to energy management the first related to the management of natural resources the position of the energy regulation is not only limited in the context of the law on energy law 30 2007 but also associated with a numbers of laws of other energy sources oil and gas law 22 2001 geothermal law 21 2014 mineral and coal mining law 4 2009 and electricity act 30 2009 second the energy sector is also related to other sectors that is forestry water resources marine and fisheries agriculture and plantations as well as land all sectors is impossible to separate from each other because the energy sector is in the context and in contact with other sectors on this basis the position of energy and energy sectors is very complex moreover in reality of legislation all sectors seem try to influence each other ideally all of the management must reflect to the state ideology as natural resources energy must be managed for the greater prosperity of the people energy should not be administered arbitrarily because in addition to the utilization the existence of natural resources should not be separated from the philosophical orientation of indonesian legislation pancasila and the 1945 constitution however the reality of energy legislation indicated of authority compete between sectors and alignments to society is not optimal this is due to the legal nature of the energy sector which is liberal and still exploitation oriented and procapitalist by using sociolegal approach this paper describes the reconstruction of law oriented to the indonesian legal system in energy management based on pancasila and the 1945 constitution as the foundation and soul of the energy sector law,['K1'],,,,,,en,there are two things that became an important part of studies in indonesian law related to energy management the first related to the management of natural resources the position of the energy regulation is not only limited in the context of the law on energy law 30 2007 but also associated with a numbers of laws of other energy sources oil and gas law 22 2001 geothermal law 21 2014 mineral and coal mining law 4 2009 and electricity act 30 2009 second the energy sector is also related to other sectors that is forestry water resources marine and fisheries agriculture and plantations as well as land all sectors is impossible to separate from each other because the energy sector is in the context and in contact with other sectors on this basis the position of energy and energy sectors is very complex moreover in reality of legislation all sectors seem try to influence each other ideally all of the management must reflect to the state ideology as natural resources energy must be managed for the greater prosperity of the people energy should not be administered arbitrarily because in addition to the utilization the existence of natural resources should not be separated from the philosophical orientation of indonesian legislation pancasila and the 1945 constitution however the reality of energy legislation indicated of authority compete between sectors and alignments to society is not optimal this is due to the legal nature of the energy sector which is liberal and still exploitation oriented and procapitalist by using sociolegal approach this paper describes the reconstruction of law oriented to the indonesian legal system in energy management based on pancasila and the 1945 constitution as the foundation and soul of the energy sector law
15505,15505,['FH3'],reconstruction of energy management law based on indonesia s legal system,there are two things that became an important part of studies in indonesian law related to energy management the first related to the management of natural resources second the energy sector is also related to other sectors that is forestry water resources marine and fisheries agriculture and plantations as well as land ideally all of the energy management law must reflect to the state ideology as natural resources energy must be managed for the greater prosperity of the people energy should not be administered arbitrarily because in addition to the utilization the existence of natural resources should not be separated from the philosophical orientation of indonesian legislation pancasila and the 1945 constitution however the reality of energy legislation indicated of authority compete between sectors and alignments to society is not optimal this is due to the legal nature of the energy sector which is liberal and stillexploitation oriented and procapitalist by using sociolegal approach this paper describes the reconstruction of law oriented to the indonesian legal system in energy management based on pancasila and the 1945 constitution as the foundation and soul of the energy sector law,['K1'],Fiat Justicia Jurnal Ilmu Hukum Fakultas Hukum Universitas Lampung,Fakultas Hukum Universitas Lampung,,,,en,there are two things that became an important part of studies in indonesian law related to energy management the first related to the management of natural resources second the energy sector is also related to other sectors that is forestry water resources marine and fisheries agriculture and plantations as well as land ideally all of the energy management law must reflect to the state ideology as natural resources energy must be managed for the greater prosperity of the people energy should not be administered arbitrarily because in addition to the utilization the existence of natural resources should not be separated from the philosophical orientation of indonesian legislation pancasila and the 1945 constitution however the reality of energy legislation indicated of authority compete between sectors and alignments to society is not optimal this is due to the legal nature of the energy sector which is liberal and stillexploitation oriented and procapitalist by using sociolegal approach this paper describes the reconstruction of law oriented to the indonesian legal system in energy management based on pancasila and the 1945 constitution as the foundation and soul of the energy sector law
15506,15506,['FP17'],genetic parameter for growth performance of saburai goat in tanggamus district lampung province indonesia,"abstract saburai goat was local name crossbred boer buck and ettawa grade goat does the main objectives of this study were to estimate heritability h 2 repeatability r and genetic correlation r among body measurements and body weight survey method were used to collect data 150 progenies variables observed at birth weaning and yearling were body weight bw ww yw body measurement body height bbh wbh ybh body length bbl wbl ybl chest circumference bcc wcc ycc hip height bhh whh yhh ear length bel wel yel and ear width bew wew yew the result indicated that h 2 g for performance at birth that was lowest were bew 0.07 0.02 and the highest were bhh 0.14 0.05 at weaning that was lowest were wew 0.07 0.01 the highest were wcc 0.17 0.00 and whh 0.17 0.00 at yearling that were lowest were yel 0.09 0,01 and yew 0,09 0,02 the highest were yhh 0,19 0,06 repeatability at birth that was lowest were bel 0.10 0.02 the highest were bbh 0.16 0.01 and bhh 0.16 0.03 at weaning that was lowest were wel 0.12 0.02 and wew 0.12 0.04 the highest were wbl 0.19 0.03 at yearling that was lowest were yew 0.14 0.03 the highest were ybh 0.22 0.09 and ybl 0.22 0.08 genetic correlation at birth that was lowest were between bbw and bew 0.08 0.01 the highest between bbw and bcc 0.14 0.07 r at weaning that was lowest were between wbw and wew 0.10 0.03 the highest were between wbw and wcc 0.21 0.08 r g at yearling that was lowest were between ybw and yew 0.08 0.01 the highest between ybw and ybl 0.19 0.08 between ybw and ycc 0.19 0.07 between ybw and yhh 0.19 0.09 it could be concluded that body measurement can be used as selection criteria to increase body weight keywords saburai goat heritability repeatability genetic correlation body measurement",['SF'],Advances in Animal and Veterinary Sciences,Nexus Academic Publishers,,,,en,"abstract saburai goat was local name crossbred boer buck and ettawa grade goat does the main objectives of this study were to estimate heritability h 2 repeatability r and genetic correlation r among body measurements and body weight survey method were used to collect data 150 progenies variables observed at birth weaning and yearling were body weight bw ww yw body measurement body height bbh wbh ybh body length bbl wbl ybl chest circumference bcc wcc ycc hip height bhh whh yhh ear length bel wel yel and ear width bew wew yew the result indicated that h 2 g for performance at birth that was lowest were bew 0.07 0.02 and the highest were bhh 0.14 0.05 at weaning that was lowest were wew 0.07 0.01 the highest were wcc 0.17 0.00 and whh 0.17 0.00 at yearling that were lowest were yel 0.09 0,01 and yew 0,09 0,02 the highest were yhh 0,19 0,06 repeatability at birth that was lowest were bel 0.10 0.02 the highest were bbh 0.16 0.01 and bhh 0.16 0.03 at weaning that was lowest were wel 0.12 0.02 and wew 0.12 0.04 the highest were wbl 0.19 0.03 at yearling that was lowest were yew 0.14 0.03 the highest were ybh 0.22 0.09 and ybl 0.22 0.08 genetic correlation at birth that was lowest were between bbw and bew 0.08 0.01 the highest between bbw and bcc 0.14 0.07 r at weaning that was lowest were between wbw and wew 0.10 0.03 the highest were between wbw and wcc 0.21 0.08 r g at yearling that was lowest were between ybw and yew 0.08 0.01 the highest between ybw and ybl 0.19 0.08 between ybw and ycc 0.19 0.07 between ybw and yhh 0.19 0.09 it could be concluded that body measurement can be used as selection criteria to increase body weight keywords saburai goat heritability repeatability genetic correlation body measurement"
15507,15507,['FP1'],sikap dan kepuasan konsumen terhadap paket menu lele terbang kaitannya dengan bauran pemasaran di rumah makan sambal lalap bandar lampung,"this study aims to determine the consumers characteristics of attitude and satisfaction in adition to its correlation with marketing mix of lele terbang package in sambal lalap restaurant bandar lampung research location was determined purposively the number of interviewed sample was 59 respondents that were chosen by convennion sampling the first and fourth objectives were solved by descriptive analysis the first and fourth purposes were analyzed descriptively the second purpose was analyzed by using fishbein s multiattribute and the third purpose was analyzed by using customer satisfaction index csi and importance performance analysis ipa the result showed that consumers were dominated by 19 to 24 years old women and was bachelor students who had income last than rp1,500,000.00 per month and frequency of purchase the package was 1 to 3 times per week the score of consummer attitude had been positive some attributes with the highest score were taste price halal cleanness and the comfortable of the place in overall the score of csi was feeling satisfied in consuming the menu packages of lele terbang based on the analysis of ipa the attribute at the kuadran i main priority was hygiene attribute moreover the attribute in kuadran ii hold the prestation were taste price halal cleanness and the comfortable of the place attribute in kuadran ii low priority were aroma size benefit location and facility while attribute in kuadran iv excessive were the attribute of menu and parking area the marketing of menu package lele terbang at sambal lalap restaurant had implemented marketing strategy marketing mix key words attitude csi ipa marketing package menu of lele terbang",['S1'],Jurnal Ilmu-Ilmu Agribisnis,Juruan Agribisnis Fakultas Pertanian Universitas Lampung,,,,en,"this study aims to determine the consumers characteristics of attitude and satisfaction in adition to its correlation with marketing mix of lele terbang package in sambal lalap restaurant bandar lampung research location was determined purposively the number of interviewed sample was 59 respondents that were chosen by convennion sampling the first and fourth objectives were solved by descriptive analysis the first and fourth purposes were analyzed descriptively the second purpose was analyzed by using fishbein s multiattribute and the third purpose was analyzed by using customer satisfaction index csi and importance performance analysis ipa the result showed that consumers were dominated by 19 to 24 years old women and was bachelor students who had income last than rp1,500,000.00 per month and frequency of purchase the package was 1 to 3 times per week the score of consummer attitude had been positive some attributes with the highest score were taste price halal cleanness and the comfortable of the place in overall the score of csi was feeling satisfied in consuming the menu packages of lele terbang based on the analysis of ipa the attribute at the kuadran i main priority was hygiene attribute moreover the attribute in kuadran ii hold the prestation were taste price halal cleanness and the comfortable of the place attribute in kuadran ii low priority were aroma size benefit location and facility while attribute in kuadran iv excessive were the attribute of menu and parking area the marketing of menu package lele terbang at sambal lalap restaurant had implemented marketing strategy marketing mix key words attitude csi ipa marketing package menu of lele terbang"
15508,15508,['FMIPA3'],pengecekan plagiasi implementation of dynamic mutual information and support vector machine for customer loyalty classification,fast moving consumer goods fmcg is known one of the important industrial sectors worldwide it includes household and personal care products as well as processed foods and beverages because of the tight competition company must develop good marketing strategies so it is important for the company to know customer loyalty and also to predict the income as reference in company development planning data mining now is becoming popular technique for predicting customer loyalty one of the well known data mining strategies is retaining customer s strategy in this paper we would present a new model for predicting customer loyalty the model is based on dynamic mutual information and support vector machine dmisvm to identify the relevant factors that affect the performance of the classification of customer loyalty the comparison of two classification methods and several selected features is given to show the effectiveness of the methods we validated the model by 10fold cross validation method classification accuracy precision recall and fmeasure are used to evaluate classifier performance on a test holdout sample a result in this paper is shown that svm method gives better performance accuracy than naïve bayes,['AC'],,IOP Publishing,,,,en,fast moving consumer goods fmcg is known one of the important industrial sectors worldwide it includes household and personal care products as well as processed foods and beverages because of the tight competition company must develop good marketing strategies so it is important for the company to know customer loyalty and also to predict the income as reference in company development planning data mining now is becoming popular technique for predicting customer loyalty one of the well known data mining strategies is retaining customer s strategy in this paper we would present a new model for predicting customer loyalty the model is based on dynamic mutual information and support vector machine dmisvm to identify the relevant factors that affect the performance of the classification of customer loyalty the comparison of two classification methods and several selected features is given to show the effectiveness of the methods we validated the model by 10fold cross validation method classification accuracy precision recall and fmeasure are used to evaluate classifier performance on a test holdout sample a result in this paper is shown that svm method gives better performance accuracy than naïve bayes
15509,15509,['FMIPA3'],pengecekan plagiasi implementation of various artificial intelligence approach for prediction and recommendation of personality disorder patient,personality disorder is known as chronic psychological disorders it is a serious problem of the individual character and behavior that affect work family and social life of a person in many cases the possibility of people do not realize that they have a personality disorder as a way of thinking and behaving seems natural to the patient and the patient may blame others to diagnose a personality disorder early it is necessary to develop a system that is able to predict personality disorders and recommendation type of therapy patients should undergo artificial intelligence is a technique that is very popular today various kinds of approaches and algorithms can be applied in the world of health such as expert systems neural networks and fuzzy logic the aim of this study is to assess the artificial intelligence a,['AC'],,IOP Publishing,,,,en,personality disorder is known as chronic psychological disorders it is a serious problem of the individual character and behavior that affect work family and social life of a person in many cases the possibility of people do not realize that they have a personality disorder as a way of thinking and behaving seems natural to the patient and the patient may blame others to diagnose a personality disorder early it is necessary to develop a system that is able to predict personality disorders and recommendation type of therapy patients should undergo artificial intelligence is a technique that is very popular today various kinds of approaches and algorithms can be applied in the world of health such as expert systems neural networks and fuzzy logic the aim of this study is to assess the artificial intelligence a
