,divisions,title,abstract,subjects,publication,publisher,date,keywords,keyword,lang,translation
2000,['FMIPA2'],essential oil extracted from plant tuber of nutgrass cyperus rotundus effectively decreased sperm quality of mice,tuber extract of nutgrass cyperus rotundus or rumput teki induce apoptosis in leukemia cell lines this effect related to the essential oil content of nutgrass the present study aimed to evaluate the effect of nutgrass essential oil on the quality of sperm in mice mice were divided into 4 groups using a completely randomized design group 1 control received only distilled water groups 2 3 and 4 received 9 18 and 36 mg 30gbw essential oil respectively for 35 days at the end of 35 days the total number of sperms was 51 25.16 16.66 and 11.83 million ml and the sperm motility was 75.5% 55.66% 32.66% and 23.33% in group 1 2 3 and 4 respectively the results showed that the nutgrass essential oil in a dosedependent manner decreased the motility and number of sperms in mice it is suggested that the essential oil extracted from the cyperus rotundus tuber has the potential to be utilized as an antifertility agent,['QL'],Journal of Advanced Pharmacy Education & Research,Published by SPER Publication,2021-04,,,en,"Ekstrak umbi nutgrass cyperus rotundus atau rumput teki menginduksi apoptosis pada garis sel leukemia efek ini terkait dengan kandungan minyak atsiri dari nutgrass yang bertujuan untuk mengevaluasi efek minyak esensial nutgrass pada kualitas sperma pada tikus dibagi menjadi 4 kelompokMenggunakan kontrol kelompok desain 1 yang sepenuhnya acak hanya menerima kelompok air suling 2 3 dan 4 menerima 9 18 dan 36 mg 30GBW minyak atsiri masing -masing selama 35 hari pada akhir 35 hari jumlah sperma adalah 51 25,16 16,66 dan 11,83 juta ml dan danMotilitas sperma adalah 75,5% 55,66% 32,66% dan 23,33% pada kelompok 1 2 3 dan 4 masing -masing hasil menunjukkan bahwa minyak esensial nutgrass dengan cara yang bergantung pada dosis menurunkan motilitas dan jumlah sperma pada tikus disarankan bahwa minyak esensial diekstraksiDari umbi cyperus rotundus memiliki potensi untuk digunakan sebagai agen antifertilitas"
2001,['FMIPA2'],antiestrogenic potential of turmeric rhizomes extract to decrease weight and uterine diameters on rats,turmeric curcuma longa l as an antiestrogenic can inhibit the hypothalamicpituitary axis so that estrogen secretion is disturbed and affects the weight and diameter of the uterus this study was conducted to examine the effect of turmeric extract curcuma longa l on weight and uterine diameters of female white rats rattus norvegicus sprague dawley strain twentyeight female rats were divided into four groups group c as a control given h2o t1 given 250mg kg bw turmeric extract 1ml h2o t2 given 500mg kg bw turmeric extract 1ml h2o and t4 given 1000mg kg bw turmeric extract 1ml h2o turmeric extract was given daily for five days the result showed that giving 250mg kg bw and 1000mg kg bw of turmeric extract significantly decrease weight and uterine diameters of female rats in the conclusion turmeric extract can decrease weight and uterine diameters and showing antiestrogenic potential in female rats,['QL'],INTERNATIONAL JOURNAL OF PHARMACEUTICAL RESEARCH AND ALLIED SCIENCESInt.J. Pharm. Res. Allied Sci,,2021,,,en,Kunyit curcuma longa l Sebagai antiestrogenik dapat menghambat sumbu hipotalamik.Rattus norvegicus Sprague Dawley Strain Twentyeight Female Rats dibagi menjadi empat kelompok kelompok C sebagai kontrol yang diberikan H2O T1 yang diberi 250mg kg BW ekstrak kunyit 1ml H2O T2 Diberikan ekstrak kunyit 100mg Kg 1ml H2O dan T4 yang diberikan 1000mg Kg BW BW Kura 1mo H2O dan T4 yang diberikan 1000mg Kg BW BW Kurmerdiberikan setiap hari selama lima hari hasilnya menunjukkan bahwa memberikan 250mg kg BW dan 1000mg kg BW ekstrak kunyit secara signifikan mengurangi berat badan dan diameter uterus tikus betina dalam kesimpulan ekstrak kunyit dapat mengurangi berat badan dan diameter rahim dan menunjukkan potensi antiestrogenik pada tikus betina betina.
2002,['FISIP3'],networking institutionalism by the lampung parliamentary women s caucus in optimizing gender policy,abstract the representation of women in parliament is still far from the quota that has been determined in the policy which is 30% so that the role of women in parliament is still not optimal in fighting for progender equality the method in this study uses a qualitative method with a descriptive approach with a number of informants as many as 11 informants with details 2 from the lampung parliamentary women s caucus management 6 from government officials in lampung province and 1 from public policy observers the results obtained are that the parliamentary women s caucus in lampung synergizes with various government agencies in lampung province namely the office of women s empowerment and child protection the general elections commission kpu collaboration is also carried out with the damar nongovernmental organization mass media and other community organizations that are pro with gender equality the goal is to manage the budget and implement work programs namely optimizing policies that favor gender equality but from the results of the research the lampung women s parliamentary caucus has not been able to carry out its role optimally this is due to a lack of coordination and meetings between the lampung parliamentary women s caucus officials so that the policy that are in favor of gender also cannot be carried out optimally 5 aspects of the theory of networking institutionalism it is known that the organizational aspect is not optimal because there are still internal constraints namely the lack of intensive coordination between the lampung parliamentary women s caucus administrators,"['H1', 'JC']",Nakhoda: Jurnal Ilmu Pemerintahan,Lab JIP FISIP Universitas Riau,2021-12-28,,"['networking institutionalism', 'pro gender policy']",en,"Abstrak Representasi perempuan di parlemen masih jauh dari kuota yang telah ditentukan dalam kebijakan yang 30% sehingga peran perempuan di parlemen masih belum optimal dalam memperjuangkan kesetaraan progender metode dalam penelitian ini menggunakan metode kualitatifDengan pendekatan deskriptif dengan sejumlah informan sebanyak 11 informan dengan rincian 2 dari manajemen kaukus wanita parlemen Lampung 6 dari pejabat pemerintah di provinsi Lampung dan 1 dari pengamat kebijakan publik hasil yang diperoleh adalah bahwa kaukus wanita parlemen di LampungungSinergis dengan berbagai lembaga pemerintah di Provinsi Lampung yaitu Kantor Pemberdayaan dan Perlindungan Anak Wanita Komisi Pemilihan Umum Kolaborasi KPU juga dilakukan dengan Media Massal Organisasi Nonpemerintah DAMAR dan organisasi masyarakat lainnya yang pro dengan kesetaraan gender, tujuannya adalah untuk mengelola.Anggaran dan menerapkan program kerja yaitu mengoptimalkan kebijakan yang mendukung kesetaraan gender tetapi dari hasil penelitian Kaukus parlemen Lampung Women belum mampu melakukan perannya secara optimal, ini disebabkan oleh kurangnya koordinasi dan pertemuan antara Parlemen Lampung LampungPejabat Kaukus Wanita Sehingga Kebijakan yang mendukung gender juga tidak dapat dilakukan secara optimal 5 aspek dari teori institusionalisme jaringan diketahui bahwa aspek organisasi tidak optimal karena masih ada kendala internal yaitu kurangnya koordinasi intensif intensifAntara Administrator Kaukus Wanita Parlemen Lampung"
2003,['FMIPA3'],analisis manajemen risiko sistem informasi balai pengkajian teknologi pertanian lampung menggunakan metode nist sp 800-30,balai pengkajian teknologi pertanian lampung eng institute for agricultural technology assessment also known as bptp lampung is one of the government agencies that need information systems in the management selection storage and information dissemination the application of information systems raises several risks that can disrupt activities and disadvantage in material time for bptp lampung the purpose of this research is to analyze the risk management information system of bptplampung and find out the factors that affect risk occur by using nist sp 800-30 method the risk management information system of bptp lampung is implemented to anticipate the threat of risk with several stages are risk assessment risk mitigation and risk evaluation there are 10 ten associated risks from research results namely less communicative language no backup of research data no update data multiple tasks and obligations human error internet access error system fires natural disasters thunderstorms floods earthquakes etc and blackout at a high level of risk is a less communicative language from research results by the researcher of bptp lampung and multiple tasks and obligations from the management of information system bptp lampung the final result from the risk management of information system bptp lampung is a recommendation given to reduce the impact of risks that occur keywords bptp lampung information system nist sp 800-30 method risk management,['QA76'],Jurnal Pepadun,Jurusan Ilmu Komputer FMIPA Universitas Lampung,2021-04-01,,,en,Balai Pengkajian Teknologi Pertanian Lampung Institute untuk Penilaian Teknologi Pertanian Juga dikenal sebagai BPTP Lampung adalah salah satu lembaga pemerintah yang membutuhkan sistem informasi dalam penyimpanan pemilihan manajemen dan penyebaran informasi. Penerapan sistem informasi meningkatkan beberapa risiko yang dapat mengganggu kegiatan dan merugikan material dalam materialWaktu untuk BPTP Lampung Tujuan dari penelitian ini adalah untuk menganalisis sistem informasi manajemen risiko BPTplampung dan mencari tahu faktor-faktor yang mempengaruhi risiko yang terjadi dengan menggunakan metode NIST SP 800-30 Sistem Informasi Manajemen Risiko Lampung BPTP diimplementasikan untuk mengantisipasi ancaman tersebutdll dan pemadaman pada tingkat risiko yang tinggi adalah bahasa yang kurang komunikatif dari hasil penelitian oleh peneliti BPTP Lampung dan beberapa tugas dan kewajiban dari pengelolaan sistem informasi BPTP Lampung Hasil Akhir dari Manajemen Risiko Sistem Informasi BPTP Lampung adalah aRekomendasi yang diberikan untuk mengurangi dampak risiko yang terjadi kata kunci BPTP Lampung Sistem Informasi NIST SP 800-30 Metode Manajemen Risiko
2004,['FH3'],legal protection of ulayat rights contextualization and policies,abstract the constitution has mandated that the existence of customary law communities and their rights as long as they live still be recognized and respected this was supported by various national and sectoral laws and regulations which also recognized and respected the customary rights of indigenous peoples but in its implementation customary land conflicts continue to occur from the legal aspect this condition occurs because there is no legal umbrella to protect the existence of customary law communities at the regional level this research was conducted to protecting of ulayat lands of customary communities with doctrinal legal research methods the results of this study show that first regional authority in protecting indigenous peoples is obtained from two legal regimes the regional government legal regime in law no 23 of 2014 concerning regional government and sectoral legal regimes in the fields of land forestry and human rights second the contextualization of legal protection of ulayat land rights for customary law communities by local governments can be done by establishing a regional regulation as a legal policy so that local governments are advised to immediately form regulations that contain and protect customary land rights for customary law community community adat ulayat protection,['K1'],"Proceedings of the 2nd International Conference on Fundamental Rights, I-COFFEES 2019, 5-6 August 2019, Bandar Lampung, Lampung, Indonesia",EAI,2021-06-08,,['contextualization'],en,Implementasi Konflik tanah adat terus terjadi dari aspek hukum Kondisi ini terjadi karena tidak ada payung hukum untuk melindungi keberadaan komunitas hukum adat di tingkat regional yang dilakukan penelitian ini untuk melindungi tanah ulayat komunitas adat dengan metode penelitian hukum doktrinalHasil penelitian ini menunjukkan bahwa otoritas regional pertama dalam melindungi masyarakat adat diperoleh dari dua rezim hukum rezim hukum pemerintah daerah dalam undang -undang no 23 tahun 2014 tentang pemerintah daerah dan rezim hukum sektoral di bidang kehutanan tanah dan hak asasi manusia kedua kontekstualisasi dari kontekstualisasi dariPerlindungan Hukum atas Hak Tanah Ulayat untuk Komunitas Hukum Adat oleh Pemerintah Daerah dapat dilakukan dengan menetapkan peraturan regional sebagai kebijakan hukum sehingga pemerintah daerah disarankan untuk segera membentuk peraturan yang berisi dan melindungi hak tanah adat untuk komunitas adat komunitas Adat Ulayat Perlindungan
2005,['FMIPA9'],the comparison of the effectiveness of the lowest supply lowest cost lslc algorithm and the exponential approach algorithm in transportation problems,transportation problems are one of the particular forms that often appear in linear programs one of which is the distribution of goods a transportation method is needed to determine the optimal result namely the minimum cost from source to destination with all demand and supply fulfilled there are several methods one of which is the lowest supply lowest cost method lslc and the exponential approach method pe both methods are made in a matlab program generating a script that calculates the algorithm s time complexity using the function notation the bigo algorithm complexity of the lowest supply lowest cost method is more efficient than the exponential approach method algorithm at the same time the optimal result for the minimum cost between the two methods is obtained by using the exponential approach method,['QA'],DESIMAL: JURNAL MATEMATIKA,Raden Inten Islamic State University,2021,,,en,Masalah transportasi adalah salah satu bentuk khusus yang sering muncul dalam program linier yang salah satunya adalah distribusi barang yang diperlukan metode transportasi untuk menentukan hasil optimal yaitu biaya minimum dari sumber ke tujuan dengan semua permintaan dan pasokan dipenuhi ada beberapa metodeSalah satunya adalah metode biaya terendah yang paling rendah LSLC dan metode pendekatan eksponensial PE kedua metode dibuat dalam program MATLAB yang menghasilkan skrip yang menghitung kompleksitas waktu algoritma menggunakan notasi fungsi kompleksitas algoritma Bigo dari metode biaya terendah terendah terendahlebih efisien daripada algoritma metode pendekatan eksponensial pada saat yang sama hasil optimal untuk biaya minimum antara kedua metode diperoleh dengan menggunakan metode pendekatan eksponensial
2006,['FP26'],harmonization of the education curriculum at pesantren al falah gorontalo an educational philosophy study,pesantren islamic boarding schools have become characterbuilding institutions trusted by the indonesian people however as educational institutions pesantren must adapt to the national education curriculum which can be challenging the purpose of this study was to critically identify and analyze the implementation of the educational curriculum at the pesantren al falah gorontalo based on the educational philosophy point of view a qualitative approach was employed using the hermeneutics method interpretation description synthetic analysis internal coherence holistic reflection and heuristics were used the results indicated that the pesantren al falah gorontalo combined two educational curriculums analysis from the educational philosophy perspective found that the implementation of education was based on essentialism educational philosophical ideas which assume that education is full of flexibility and helps students to adhere to noble values spiritual characteristics and human guidance to achieve a more noble life,['S1'],KnE Social Sciences,,2021-12,,,en,Sekolah asrama Islam pesantren telah menjadi lembaga pembangunan karakter yang dipercaya oleh rakyat Indonesia namun sebagai lembaga pendidikan Pesantren harus beradaptasi dengan kurikulum pendidikan nasional yang dapat menantang tujuan penelitian ini adalah untuk mengidentifikasi dan menganalisis secara kritis implementasi kurikulum pendidikan di Pesantren al alFalah Gorontalo Berdasarkan pada Sudut Pandang Filsafat Pendidikan Suatu pendekatan kualitatif digunakan dengan menggunakan metode interpretasi metode hermeneutika.Ditemukan bahwa implementasi pendidikan didasarkan pada esensialisme ide -ide filosofis pendidikan yang mengasumsikan bahwa pendidikan penuh dengan fleksibilitas dan membantu siswa untuk mematuhi nilai -nilai mulia karakteristik spiritual dan bimbingan manusia untuk mencapai kehidupan yang lebih mulia
2007,['FT4'],earlyage shrinkage of highperformance concrete beam in laboratory and fullscale,judul paper pada jurnal earlyage shrinkage of highperformance concrete beam in laboratory and fullscale cer prof suharno prof stefanus prof sri tudjono author nilai rata2 18.1 17.5 tunggal 7.12,['ZA4450'],,Universitas Lampung,2021-11-08,,,en,judul paper pada jurnal early age shrinkage of high performance concrete beam in laboratory and fullscale cer prof suharno prof stefanus prof sri tudjono author nilai rata2 18.1 17.5 tunggal 7.12
2008,['FT4'],peer review book chapter fracture mechanics the mechanism of misalignment of saw cutting crack of concrete pavement,judul book chapter fracture mechanics the mechanism of misalignment of saw cutting crack of concrete pavement intech prof suharno prof stefanus prof sri tudjono author nilai rata2 14.3 13.9 13.5 tunggal 13.9,['ZA4450'],,Universitas Lampung,2021-11-08,,,en,Bab Buku Judul Mekanika Fraktur Mekanisme Misalignment Saw Cutting Retak trotoar beton Intech Prof Suharno Prof Stefanus Prof Sri Tudjono Penulis Nilai Rata2 14.3 13.9 13.5 Tegalgal 13.9
2009,['FT4'],peer review one day highperformance concrete mechanism of plate beam and column,judul paper pada prosiding one day of highperformance concrete mechanism of plate beam and column iop prof suharno prof stefanus prof sri tudjono author nilai rata2 27 27.8 26.5 tunggal 27.1,['ZA4450'],,Universitas Lampung,2021-10-10,,,en,judul paper pada prosiding one day of high performance concrete mechanism of plate beam and column iop prof suharno prof stefanus prof sri sudjono author nilai rata2 27 27.8 26.5 tunggal 27.1
